Pond,Species,PlantID,Shade ,Leachate,Above,Below,Rhizome,Ramets.T,Leaves.FA,Leaves.FD,Height.F
S.Pond1,L ,D-L-4,YS,NL,19.568,21.673,8.76,3,27,6,78.6
S.Pond1,G,C-A-21,YS,NL,16.148,14.043,11.093,4,27,11,82.2
S.Pond1,L ,S-L-1,YS,NL,44.853,30.237,17.828,8,68,8,106.2
S.Pond1,A,M-A-6,YS,NL,8.393,8.759,7.266,3,17,6,79.7
S.Pond1,L ,D-L-11,YS,NL,66.037,71.405,24.811,11,99,3,110.1
S.Pond1,G,D-A-11,YS,NL,46.404,34.721,19.258,8,46,31,117.1
S.Pond1,A,D-A-20,YS,NL,1.444,5.051,1.473,3,0,17,55.7
S.Pond1,L ,M-L-15,YS,NL,44.922,37.26,13.609,7,49,3,110.6
S.Pond1,A,M-A-15,YS,NL,14.611,15.671,8.449,4,24,3,108.1
S.Pond1,G,M-A-12,YS,NL,21.949,32.745,14.545,7,49,4,104.4
S.Pond1,L ,M-H-12,YS,NL,2.833,3.584,2.01,2,0,11,61.9
S.Pond1,A,M-A-1,YS,NL,2.633,6.469,2.4,1,4,7,55.7
S.Pond1,A,D-A-25,YS,NL,2.396,8.951,3.225,3,0,19,52
S.Pond1,G,D-A-19,YS,NL,0.901,0.676,0.431,1,0,7,25.4
L.Pond2,L ,M-L-5,NS,YL,4.597,10.943,5.356,3,3,17,40.7
L.Pond2,G,M-A-12,NS,YL,6.74,9.664,2.579,4,0,29,59.3
L.Pond2,A,D-A-20,NS,YL,2.712,11.308,1.718,3,0,17,40.5
L.Pond2,G,M-A-7,NS,YL,0.986,0.314,0.084,1,0,4,19.2
L.Pond2,L ,S-L-1,NS,YL,2.253,1.742,0.957,1,0,9,23.1
L.Pond2,A,M-A-1,NS,YL,1.209,1.983,0.47,1,0,8,46.4
L.Pond2,L ,M-H-12,NS,YL,3.398,2.14,0,1,3,6,33.2
L.Pond2,G,C-A-21,NS,YL,15.178,26.233,8.023,5,32,7,100.6
L.Pond2,L ,D-L-4,NS,YL,15.464,41.735,17.918,4,30,12,66.4
L.Pond2,A,C-A-8,NS,YL,0.113,0.031,0.012,1,0,2,3.6
L.Pond2,A,M-A-6,NS,YL,25.809,50.626,11.368,4,22,13,78.7
L.Pond2,G,D-A-19,NS,YL,24.481,20.563,10.795,6,52,4,92.7
L.Pond2,L ,D-L-11,NS,YL,11.309,9.586,4.986,3,14,6,44.8
L.Pond2,G,M-A-10,NS,YL,1.42,1.378,0,1,0,6,26.1
L.Pond2,A,D-A-20,NS,YL,15.72,28.055,8.685,4,27,7,91.7
C.Pond3,L ,M-L-5,NS,NL,35.624,37.021,11.976,7,71,0,93
C.Pond3,A,D-A-20,NS,NL,16.621,31.943,8.478,5,36,9,91.3
C.Pond3,G,D-A-11,NS,NL,70.673,62.822,29.336,7,61,4,136.4
C.Pond3,A,M-A-15,NS,NL,6.384,6.464,3.097,4,23,6,63.3
C.Pond3,L ,D-L-4,NS,NL,6.369,5.627,3.823,3,21,3,58
C.Pond3,G,M-A-10,NS,NL,53.711,38.993,15.739,8,70,3,126.3
C.Pond3,A,M-A-1,NS,NL,18.493,17.652,6.422,5,33,6,121.7
C.Pond3,L ,M-L-5,NS,NL,1.132,0.986,0.533,1,1,7,32.7
C.Pond3,A,M-A-6,NS,NL,31.53,26.088,13.625,6,41,2,110.6
C.Pond3,G,M-A-12,NS,NL,35.23,21.405,13.438,6,48,5,113.6
C.Pond3,L ,D-L-11,NS,NL,31.748,28.885,16.485,3,36,0,111.2
C.Pond3,A,D-A-20,NS,NL,20.459,38.409,9.427,6,44,3,98.4
C.Pond3,G,M-A-10,NS,NL,55.618,61.195,26.519,5,56,3,121.5
C.Pond3,G,D-A-11,NS,NL,31.616,14.748,12.055,6,39,5,93
C.Pond3,L ,M-H-12,NS,NL,22.42,13.55,7.445,5,40,3,94.2
SL.Pond4,A,M-A-15,YS,YL,28.185,17.566,11.469,4,34,2,136.1
SL.Pond4,L ,D-L-11,YS,YL,30.698,28.11,12.514,6,52,2,137.7
SL.Pond4,A,M-A-6,YS,YL,30.645,30.182,12.112,5,39,3,138.9
SL.Pond4,G,C-A-21,YS,YL,31.367,20.059,10.715,5,24,24,102.4
SL.Pond4,A,D-A-20,YS,YL,19.217,17.097,9.711,4,28,4,107.5
SL.Pond4,L ,M-L-15,YS,YL,53.495,29.554,13.127,5,55,0,127.4
SL.Pond4,L ,S-L-1,YS,YL,26.722,8.51,0,5,45,7,110.6
SL.Pond4,L ,D-L-4,YS,YL,50.464,34.185,17.175,5,39,2,138.2
SL.Pond4,A,M-A-1,YS,YL,31.894,21.98,13.111,3,28,2,130.6
SL.Pond4,G,M-A-10,YS,YL,10.097,10.193,5.649,4,19,12,79.7
