Pond,Pot,Plant,Species,Competitor,PlantID,Shade ,Leachate,Above,Rhizome,Below ,Leaves.FA,Leaves.FD,Height.F,Ramets.F
S.Pond1,1,R1,L,L,M-L-5,YS,NL,6.329,9.014,11.422,22,3,90.4,3
S.Pond1,1,R2,L,L,D-L-11,YS,NL,2.259,5.603,7.797,10,1,59.6,2
S.Pond1,2,R1,G,G,M-A-7,YS,NL,3.215,5.025,6.844,16,2,74.1,3
S.Pond1,2,R2,G,G,C-A-21,YS,NL,2.682,4.305,5.823,12,2,73.2,2
S.Pond1,3,R1,L,G,D-L-4,YS,NL,1.225,0.637,0.95,8,0,39.8,1
S.Pond1,3,R2,G,L,M-A-12,YS,NL,0.617,0.342,0.585,7,1,39.9,1
S.Pond1,4,R1,L,G,M-L-15,YS,NL,2.661,1.254,2.257,9,1,50.3,1
S.Pond1,4,R2,G,L,D-A-19,YS,NL,4.676,7.19,9.322,20,1,85,3
S.Pond1,5,R1,G,G,D-A-11,YS,NL,2.551,3.873,5.216,14,1,72.3,3
S.Pond1,5,R2,G,G,M-A-10,YS,NL,4.927,7.026,10.659,19,2,90.7,3
S.Pond1,6,R1,L,L,S-L-1,YS,NL,4.657,4.443,7.097,17,2,77.3,3
S.Pond1,6,R2,L,L,M-H-12,YS,NL,4.109,3.025,4.817,10,2,62.6,1
L.Pond2,1,R1,G,G,M-A-12,NS,YL,5.008,9.232,13.419,21,3,79.7,4
L.Pond2,1,R2,G,G,D-A-19,NS,YL,3.812,9.134,11.658,17,3,78,3
L.Pond2,2,R1,L,G,M-A-10,NS,YL,2.72,7.041,9.38,11,2,72.6,2
L.Pond2,2,R2,G,L,C-A-21,NS,YL,3.301,7.572,11.211,13,2,68,2
L.Pond2,3,R1,L,L,M-L-15,NS,YL,3.084,3.536,6.625,9,2,52.4,1
L.Pond2,3,R2,L,L,S-L-1,NS,YL,2.479,1.238,1.976,9,1,40.2,1
L.Pond2,4,R1,L,G,D-L-4,NS,YL,3.876,7.763,10.679,14,1,57.2,2
L.Pond2,4,R2,G,L,M-A-7,NS,YL,3.419,5.887,7.924,8,3,56.1,2
L.Pond2,5,R1,L,L,D-L-11,NS,YL,1.548,1.681,3.066,12,1,43.3,2
L.Pond2,5,R2,L,L,M-H-12,NS,YL,1.935,2.359,4.809,10,1,52.4,1
L.Pond2,6,R1,G,G,D-A-11,NS,YL,0.072,0.068,0.31,5,0,22.6,1
L.Pond2,6,R2,G,G,M-A-7,NS,YL,3.289,2.428,3.287,8,2,55.4,2
C.Pond3,1,R1,L,G,S-L-1,NS,NL,6.333,9.017,13.505,16,4,81.2,2
C.Pond3,1,R2,G,L,C-A-21,NS,NL,0.341,0.443,0.924,6,2,27.9,1
C.Pond3,2,R1,G,G,M-A-7,NS,NL,0.902,1.535,2.331,6,2,49.6,1
C.Pond3,2,R2,G,G,M-A-12,NS,NL,1.935,3.337,5.129,12,2,56.9,2
C.Pond3,3,R1,L,L,M-L-15,NS,NL,1.917,3.244,5.104,8,3,47.7,1
C.Pond3,3,R2,L,L,M-L-5,NS,NL,5.781,5.026,8.628,16,3,64.6,5
C.Pond3,4,R1,L,L,D-L-4,NS,NL,2.295,2.095,4.011,8,1,46.1,1
C.Pond3,4,R2,L,L,M-H-12,NS,NL,3.138,4.461,8.183,10,3,66.3,1
C.Pond3,5,R1,G,G,M-A-10,NS,NL,2.296,4.578,8.86,13,1,61.4,2
C.Pond3,5,R2,G,G,M-A-7,NS,NL,5.216,5.073,7.686,11,3,69.3,2
C.Pond3,6,R1,L,G,D-L-11,NS,NL,1.708,3.264,7.153,11,3,48.4,2
C.Pond3,6,R2,G,L,D-A-19,NS,NL,2.795,7.259,11.229,16,2,60.6,3
SL.Pond4,1,R1,G,G,D-A-19,YS,YL,3.874,6.96,9.576,16,2,77.1,3
SL.Pond4,1,R2,G,G,D-A-11,YS,YL,2.078,3.571,5.914,9,1,69.6,2
SL.Pond4,2,R1,G,G,M-A-10,YS,YL,1.338,2.241,3.467,6,2,55,1
SL.Pond4,2,R2,G,G,C-A-21,YS,YL,2.789,4.597,8.826,14,2,72.1,2
SL.Pond4,3,R1,L,L,M-L-5,YS,YL,4.394,2.934,4.43,9,2,56.7,1
SL.Pond4,3,R2,L,L,S-L-1,YS,YL,2.052,2.997,4.246,5,2,59.8,1
SL.Pond4,4,R1,L,L,M-L-15,YS,YL,1.556,1.309,2.514,8,2,43.2,1
SL.Pond4,4,R2,L,L,D-L-4,YS,YL,4.919,4.792,6.819,5,2,66.4,1
SL.Pond4,5,R1,L,G,M-H-12,YS,YL,4.29,6.482,9.819,14,2,78.6,2
SL.Pond4,5,R2,G,L,M-A-12,YS,YL,1.316,1.572,2.217,6,1,46.2,1
SL.Pond4,6,R1,L,G,D-L-11,YS,YL,3.639,5.199,9.163,15,2,67.8,2
SL.Pond4,6,R2,G,L,D-A-11,YS,YL,1.88,6.168,8.553,11,3,64.5,2
SL.Pond5,1,R1,L,L,M-L-5,YS,YL,8.764,4.352,6.508,15,2,67.9,3
SL.Pond5,1,R2,L,L,D-L-4,YS,YL,2.847,5.031,7.503,11,1,58.5,2
SL.Pond5,2,R1,L,L,S-L-1,YS,YL,2.927,5.452,9.287,13,1,64,3
SL.Pond5,2,R2,L,L,D-L-11,YS,YL,3.465,4.922,6.747,14,1,70.5,2
