Species,PlantID,Shade,Leachate,Seeds.T,Seeds.G
A,M-A-15,YS,NL,99,43
A,M-A-15,NS,YL,143,35
A,M-A-15,YS,YL,284,81
A,M-A-15,NS,NL,257,182
A,M-A-1,YS,NL,440,264
A,M-A-1,NS,YL,583,62
A,M-A-1,YS,YL,765,390
A,M-A-1,NS,NL,560,418
A,M-A-6,YS,NL,332,213
A,M-A-6,NS,YL,272,113
A,M-A-6,YS,YL,360,172
A,M-A-6,NS,NL,341,246
L,M-L-5,YS,NL,571,388
L,M-L-5,NS,YL,106,36
L,M-L-5,YS,YL,269,183
L,M-L-5,NS,NL,419,252
L,M-L-15,YS,NL,630,573
L,M-L-15,NS,YL,371,158
L,M-L-15,YS,YL,229,162
L,M-L-15,NS,NL,553,344
L,D-L-4,YS,NL,399,243
L,D-L-4,NS,YL,198,41
L,D-L-4,YS,YL,266,78
L,D-L-4,NS,NL,153,55
G,C-A-21,YS,NL,592,540
G,C-A-21,NS,YL,314,271
G,C-A-21,YS,YL,423,356
G,C-A-21,NS,NL,551,489
G,D-A-11,YS,NL,122,91
G,D-A-11,NS,YL,320,246
G,D-A-11,YS,YL,338,306
G,D-A-11,NS,NL,440,420
G,M-A-12,YS,NL,461,383
G,M-A-12,NS,YL,303,122
G,M-A-12,YS,YL,474,292
G,M-A-12,NS,NL,548,432
A,C-A-8,YS,NL,148,82
A,C-A-8,NS,YL,226,56
A,C-A-8,YS,YL,142,23
A,C-A-8,NS,NL,171,104
A,D-A-20,YS,NL,165,80
A,D-A-20,NS,YL,246,93
A,D-A-20,YS,YL,252,99
A,D-A-20,NS,NL,212,110
A,D-A-25,YS,NL,417,322
A,D-A-25,NS,YL,198,144
A,D-A-25,YS,YL,301,92
A,D-A-25,NS,NL,377,330
L,D-L-11,YS,NL,103,11
L,D-L-11,NS,YL,169,2
L,D-L-11,YS,YL,185,7
L,D-L-11,NS,NL,221,40
L,S-L-1,YS,NL,294,186
L,S-L-1,NS,YL,290,91
L,S-L-1,YS,YL,323,141
L,S-L-1,NS,NL,388,286
L,M-H-12,YS,NL,444,16
L,M-H-12,NS,YL,347,3
L,M-H-12,YS,YL,376,12
L,M-H-12,NS,NL,532,91
G,M-A-7,YS,NL,221,17
G,M-A-7,NS,YL,261,18
G,M-A-7,YS,YL,240,9
G,M-A-7,NS,NL,155,16
G,D-A-19,YS,NL,300,265
G,D-A-19,NS,YL,233,210
G,D-A-19,YS,YL,289,253
G,D-A-19,NS,NL,265,231
G,M-A-10,YS,NL,96,12
G,M-A-10,NS,YL,130,15
G,M-A-10,YS,YL,117,7
G,M-A-10,NS,NL,68,12
